Value,Type,z0,z0urbanLES,LAI,LADalpha,LADbeta
0,Unclassified,0.03,0.0,0.0,0.0,0.0
11,Open Water,0.001,0.0,0.0,0.0,0.0
12,Perennial Snow/Ice,0.012,0.0,0.0,0.0,0.0
21,"Developed, Open Space",0.05,0.05,0.0,0.0,0.0
22,"Developed, Low Intensity",0.33,0.05,0.0,0.0,0.0
23,"Developed, Medium Intensity",0.5,0.05,0.0,0.0,0.0
24,Developed High Intensity,0.39,0.05,0.0,0.0,0.0,0.0
31,Barren Land,0.09,0.0,0.425,1.0,1.0
41,Deciduous Forest,0.65,0.0,2.58,3.0,2.0
42,Evergreen Forest,0.72,0.0,4.78,2.0,2.0
43,Mixed Forest,0.71,0.0,4.15,2.5,2.0
52,Shrub/Scrub,0.12,0.0,2.08,1.5,2.0
71,Herbaceous,0.04,0.0,3.76,2.0,1.5
81,Hay/Pasture,0.06,0.0,3.62,2.0,1.5
82,Cultivated Crops,0.05,0.0,3.39,3.0,3.0
90,Woody Wetlands,0.55,0.0,3.84,2.5,1.8
95,Emergent Herbaceous Wetlands,0.11,0.0,3.575,1.8,2.0
